Year,[0],[1-4],[10-14],[15-19],[20-24],[25-29],[30-34],[35-39],[40-44],[45-49],[5-9],[50-54],[55-59],[60-64],[65-69],[70-74],[75-79],[80-84],[85+],[All]
2000,163.0,567.0,936.0,5176.0,5264.0,3679.0,3153.0,3549.0,3392.0,2938.0,751.0,2413.0,1890.0,1581.0,1414.0,1583.0,1724.0,1390.0,1276.0,42866.0
2001,140.0,564.0,899.0,5155.0,5465.0,3675.0,3196.0,3522.0,3549.0,3047.0,669.0,2557.0,1915.0,1518.0,1393.0,1571.0,1792.0,1459.0,1209.0,43328.0
2002,122.0,541.0,900.0,5549.0,5760.0,3689.0,3343.0,3441.0,3616.0,3270.0,636.0,2700.0,2005.0,1755.0,1456.0,1615.0,1734.0,1506.0,1264.0,44937.0
2003,146.0,510.0,929.0,5265.0,5678.0,3649.0,3195.0,3293.0,3696.0,3302.0,608.0,2798.0,2252.0,1741.0,1430.0,1533.0,1655.0,1521.0,1337.0,44555.0
2004,140.0,524.0,941.0,5180.0,5726.0,3825.0,3162.0,3195.0,3470.0,3435.0,601.0,2867.0,2287.0,1789.0,1549.0,1414.0,1650.0,1482.0,1242.0,44505.0
2005,141.0,495.0,787.0,4877.0,5906.0,3890.0,3299.0,3151.0,3557.0,3460.0,566.0,3004.0,2534.0,1912.0,1578.0,1471.0,1555.0,1374.0,1248.0,44811.0
2006,140.0,479.0,720.0,4856.0,5990.0,4085.0,3202.0,3216.0,3466.0,3586.0,525.0,3055.0,2558.0,1923.0,1531.0,1364.0,1461.0,1383.0,1206.0,44760.0
2007,122.0,435.0,708.0,4630.0,5747.0,4018.0,2958.0,3085.0,3220.0,3457.0,472.0,3086.0,2534.0,1827.0,1483.0,1400.0,1424.0,1302.0,1218.0,43137.0
2008,98.0,349.0,547.0,3751.0,5004.0,3740.0,2750.0,2688.0,2965.0,3275.0,393.0,2901.0,2380.0,1969.0,1412.0,1364.0,1290.0,1162.0,1158.0,39199.0
2009,93.0,378.0,519.0,3285.0,4282.0,3329.0,2455.0,2418.0,2621.0,2967.0,394.0,2781.0,2253.0,1878.0,1439.0,1217.0,1158.0,1199.0,1063.0,35738.0
2010,76.0,348.0,473.0,2928.0,4194.0,3170.0,2509.0,2313.0,2395.0,2756.0,366.0,2651.0,2425.0,1947.0,1479.0,1141.0,1248.0,1144.0,1246.0,34812.0
2011,93.0,333.0,451.0,2820.0,4182.0,3180.0,2513.0,2166.0,2389.0,2655.0,360.0,2864.0,2369.0,2026.0,1536.0,1357.0,1220.0,1118.0,1215.0,34851.0
2012,69.0,365.0,420.0,2660.0,4323.0,3346.0,2699.0,2327.0,2445.0,2611.0,343.0,3013.0,2642.0,2162.0,1716.0,1416.0,1188.0,1125.0,1224.0,36099.0
2013,67.0,331.0,423.0,2366.0,4229.0,3266.0,2634.0,2246.0,2352.0,2558.0,349.0,2772.0,2685.0,2080.0,1729.0,1333.0,1204.0,1112.0,1210.0,34950.0
2014,61.0,295.0,388.0,2476.0,4127.0,3314.0,2664.0,2251.0,2201.0,2340.0,352.0,2947.0,2624.0,2181.0,1708.0,1424.0,1239.0,1050.0,1210.0,34859.0
2015,65.0,338.0,425.0,2574.0,4302.0,3619.0,2824.0,2507.0,2335.0,2512.0,358.0,3088.0,2889.0,2392.0,2035.0,1477.0,1239.0,1079.0,1315.0,37379.0
2016,88.0,338.0,468.0,2652.0,4465.0,3911.0,3232.0,2661.0,2554.0,2676.0,390.0,3114.0,3068.0,2634.0,2170.0,1646.0,1351.0,1246.0,1309.0,39976.0
2017,90.0,367.0,436.0,2589.0,4200.0,3879.0,3134.0,2798.0,2539.0,2736.0,338.0,2984.0,3178.0,2721.0,2105.0,1728.0,1543.0,1225.0,1402.0,39992.0
2018,80.0,296.0,365.0,2349.0,4027.0,3854.0,3144.0,2802.0,2398.0,2739.0,348.0,2813.0,3185.0,2768.0,2208.0,1818.0,1507.0,1174.0,1279.0,39156.0
2019,69.0,283.0,437.0,2217.0,3708.0,3717.0,3048.0,2925.0,2475.0,2551.0,349.0,2757.0,3139.0,2768.0,2283.0,1865.0,1620.0,1277.0,1350.0,38840.0
2020,73.0,286.0,489.0,2588.0,4228.0,4213.0,3825.0,3271.0,2907.0,2716.0,323.0,2899.0,3293.0,2982.0,2307.0,1810.0,1492.0,1099.0,1143.0,41947.0
2021,106.0,310.0,500.0,2901.0,4438.0,4500.0,4355.0,3815.0,3360.0,2933.0,385.0,3322.0,3451.0,3342.0,2642.0,2181.0,1662.0,1214.0,1315.0,46736.0
